,addresses,zip,lat,long
242,108 Chappie James Way,78236-0122,29.386901,-98.599855
243,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
244,311 Stieren,78210-1154,29.409683,-98.490911
245,3838 Southcross Blvd E,78222-3556,29.374684,-98.420961
246,7226 Snowden Crest,78240-4794,29.501613,-98.591172
247,4060 Medical Dr,78229-2104,29.51848,-98.561909
248,6422 Dove Hill,78238-3905,29.469044,-98.612969
249,9702 Huebner Rd,78240-1311,29.533134,-98.590474
250,1130 Lullwood Ave W,78201-4619,29.465472,-98.513001
251,100 Ridgemont Ave,78209-5430,29.481003,-98.459052
252,10710 Spirit Roam,78254,29.526163,-98.703891
253,18819 Hardy Oak Blvd,78258-4961,29.617731,-98.476483
254,200 Spriggsdale,78220-1118,29.417118,-98.438687
255,87 Park Ct,78226-1836,29.383315,-98.555378
256,3314 Scenic Ln,78230-3455,29.538333,-98.549043
257,1602 Rivas St,78207-1331,29.440605,-98.536061
258,428 Street A,78252,29.342332,-98.627845
259,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
260,1800 Austin Hwy,78218-1713,29.499371,-98.422432
261,3426 Action Ln,78210-3402,29.403034,-98.431354
262,5446 Evers Rd,78238-1802,29.486467,-98.59484
263,2846 French Place W,78228-5307,29.453274,-98.541468
264,2634 Military Dr Sw,78253,29.447346,-98.718672
265,11426 Ih 10 W,78230-1043,29.547948,-98.585147
266,554 Hot Wells,78223-2623,29.368683,-98.457804
267,2135 Bailey Forest,78253-4459,29.454369,-98.732499
268,13615 Primwood,78233-4973,29.565182,-98.379042
269,1402 Laurel St W,78201-6020,29.444247,-98.527648
270,8900 Waters Edge Dr,78245,29.425738,-98.660183
271,14700 Ih 10 W,78249,29.581488,-98.597251
272,906 Kentucky Ave,78201-6016,29.446423,-98.526072
273,5726 Sweetwater Way,78253-4468,29.489812,-98.747575
274,12718 Path Finder Ln,78230-1533,29.559245,-98.562592
275,19422 Us Hwy 281 N,78258-7609,29.622833,-98.463989
276,200 Briggs Ave,78211-3604,29.355274,-98.554706
277,12702 La Quinta,78233-5847,29.555738,-98.387572
278,403 Dickson Ave W,78214-2425,29.358967,-98.502027
279,239 Azucena St,78237-1262,29.439324,-98.575014
280,430 Meredith Dr,78228-3135,29.467309,-98.547878
281,9415 Marsh Crk,78250-3529,29.504903,-98.666905
282,1827 Basse Rd,78213-4607,29.488727,-98.515102
283,35 Creston Bend,78233,29.564085,-98.362483
284,1900 Blue Crest Ln,78247-4315,29.553353,-98.464549
285,2732 Harry Wurzbach,78209-5004,29.491469,-98.431972
286,1300 Callaghan Rd,78228-4309,29.448931,-98.602676
287,28194 Bulverde Rd,78260,29.71693,-98.453913
288,11922 Silent Canyon,78254-4554,29.537741,-98.728655
289,204 Cooper St,78210-2308,29.407964,-98.460944
290,4126 Flint Hill,78230-1618,29.544427,-98.568701
291,4000 Ih 10 E,78219-4057,29.42791,-98.41655
